Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бездітко,Василь,Олегович,чоловік,1939-10-01,Кінорежисер,місто Ходорів,"проспект Ігоря Бедзая, буд. 90 кв. 248, Богодухів, 29217",689 67 00,ieshchenkoanton@example.com
Гупало,Ада,Олегівна,жінка,1971-10-18,Локсмайстер,селище Вознесенівка,"сквер Гімназична, буд. 1 кв. 0, Охтирка, 73032",028 327-93-26,babiaklukian@example.com
Примаченко,Дан,Володимирович,чоловік,1967-08-01,Сценарист,селище Мостиська,"проспект 2-га Лінія Марії Демченко, буд. 57 кв. 553, Шостка, 87031",095 495-90-90,oksanalazarenko@example.com
Шинкаренко,Галина,Олегівна,жінка,1948-04-10,Секретар,село Южне,"узвіз Клинова, буд. 135, Глобине, 91305",+380 12 132-90-69,prokhirderevianko@example.com
Ващук,Орися,Володимирівна,жінка,1960-02-15,Правник,місто Заводське,"площа Слов'янська, буд. 1, Бережани, 04461",072-01-20,tereza88@example.net
Михайлюк,Богуслава,Андріївна,жінка,1965-06-20,Водій,місто Кадіївка,"набережна Соляний 6-й, буд. 95, Ланівці, 76096",007 643-16-04,zverkhola@example.com
Чередник,Вікторія,Андріївна,жінка,1953-03-19,Флорист,місто Турка,"проспект Преображенська, буд. 010 кв. 08, Ялта, 64199",+380 (58) 397-56-27,jzinchenko@example.net
Ільєнко,Тетяна,Іванівна,жінка,1966-10-29,Промисловець,селище Довжанськ,"площа Матюшенка, буд. 892 кв. 95, Березне, 50458",019 538 05 56,jmatviienko@example.com
Михалюк,Руслан,Володимирович,чоловік,1977-07-22,Науковець,селище Старий Крим,"провулок Валіховський, буд. 685, Вишгород, 89679",082 312 55 21,ieshchenkoievhen@example.org
Єременко,Юстим,Андрійович,чоловік,1987-04-22,Психолог,хутір Рудки,"сквер Соляний 3-й, буд. 9 кв. 792, Андрушівка, 42641",444 75 19,olavrenko@example.com
Вітрук,Ярема,Володимирович,чоловік,1964-08-09,Парфюмер,селище Валки,"сквер Сергія Ейзенштейна, буд. 4, Корець, 21037",+380 14 393-12-64,valentyn08@example.org
Уманець,Михайлина,Олегівна,жінка,1965-07-23,Ріелтор,місто Глухів,"парк Бригадна, буд. 55, Отаманівка, 01249",072 920 54 92,liliiabandurka@example.com
Бгиденко,Артем,Петрович,чоловік,1974-05-29,Бухгалтер,село Ічня,"провулок Наявний 4-й, буд. 7, Винники, 42453",772-02-40,petrykielysei@example.net
Артеменко,Руслан,Олексійович,чоловік,1962-01-10,Будник,хутір Нова Каховка,"площа Західний 2-й, буд. 33 кв. 585, Вишгород, 44001",+380 95 818 91 08,omelian80@example.org
Авраменко,Ліза,Андріївна,жінка,2001-03-11,Фермер,хутір Щолкіне,"провулок Мацієвської, буд. 9, Авдіївка, 18382",+380 93 009-42-05,pavlychenkosnizhana@example.com
Христенко,Левко,Олексійович,чоловік,1944-12-31,Палеонтолог,місто Костянтинівка,"парк Володимира Вінниченка, буд. 599 кв. 6, Алмазна, 02403",051 458 85 18,lesykolha@example.net
Черінько,Андрій,Олексійович,чоловік,1945-10-17,Фрілансер,селище Овруч,"парк Лазурського, буд. 39, Вільнянськ, 44667",+380 99 197-42-96,hannaprykhodko@example.org
Запорожець,Ігнат,Петрович,чоловік,1962-01-10,М'ясник,село Новоселиця,"парк Пісочна, буд. 877, Коростишів, 75502",699-12-74,vladyslav74@example.net
Вовк,Веніямин,Олегович,чоловік,1972-09-25,Кушнір,село Василівка,"набережна Рибальський, буд. 886, Амвросіївка, 15500",045 805 84 86,bohdan25@example.org
Овчаренко,Онисим,Олексійович,чоловік,1983-05-09,Єгер,хутір Добропілля,"шосе Цесевича, буд. 4 кв. 7, Звенигородка, 78203",011 43 59,qonufriienko@example.net
Сич,Альберт,Сергійович,чоловік,2008-02-14,Астронавт,селище Устилуг,"парк Пилипа Орлика, буд. 4 кв. 46, Селидове, 78585",248 30 59,violettamazepa@example.com
Лаба,Ярина,Олегівна,жінка,1965-02-06,Громадський діяч,селище Борзна,"проспект Глиняна, буд. 316, Павлоград, 87383",+380 (15) 781-81-30,osatsiuk@example.com
Скопенко,Прохір,Іванович,чоловік,1980-02-13,Бібліограф,село Нікополь,"проспект 1-й Академічний тупик, буд. 71 кв. 9, Волочиськ, 80515",283-09-39,halyna01@example.org
Батуринець,Феофан,Олексійович,чоловік,1970-10-31,Акушер,село Бібрка,"набережна Чорноморський 1-й, буд. 62, Південне, 38514",588 17 65,danchenkorozaliia@example.com
Андрійчук,Ірена,Олексіївна,жінка,1974-02-15,Водій,селище Моспине,"вулиця Запорізька, буд. 14 кв. 5, Ровеньки, 74175",+380 35 294 64 09,zasenkoeduard@example.net
Єресько,Стефан,Олегович,чоловік,1945-01-03,Археолог,місто Бобринець,"провулок Пересипський міст, буд. 307 кв. 691, Нова Одеса, 08424",755 36 39,liudmylashvaika@example.net
Василечко,Микита,Олегович,чоловік,1981-11-13,Правник,хутір Золоте,"сквер Демократична, буд. 862, Косів, 61343",+380 (95) 978-80-56,adamviter@example.net
Деркач,Панас,Олексійович,чоловік,1939-06-01,Круп'є,хутір Берестечко,"вулиця Мирослава Скорика, буд. 62 кв. 2, Алмазна, 35774",046 519 00 21,jiukhymenko@example.org
Литвин,Мілена,Іванівна,жінка,1977-09-30,Археолог,село Скалат,"набережна Злакова, буд. 8 кв. 781, Житомир, 53385",+380 (73) 831-56-57,ozabashta@example.com
Михалюк,Пармен,Олексійович,чоловік,1979-09-30,Ветеринар,місто Хотин,"площа Кустанайська, буд. 989 кв. 725, Харків, 05875",089 176 66 93,levko64@example.org
Канівець,Франц,Іванович,чоловік,1988-12-03,Живописець,місто Ізмаїл,"провулок Шахтинський, буд. 684 кв. 8, Селидове, 48610",+380 74 066 01 39,olha88@example.net
Левченко,Едита,Іванівна,жінка,1989-07-14,Психолог,селище Горлівка,"провулок Краснослобідський, буд. 2, Світлодарськ, 84155",019 958-42-12,bstus@example.com
Міщенко,Демид,Іванович,чоловік,2006-06-23,Електротехнік,хутір Південне,"площа Глухівський, буд. 67 кв. 0, Сіверськ, 41279",+380 16 700-74-05,qbandura@example.net
Дейсун,Ярослава,Іванівна,жінка,1964-11-26,Художник,село Вишгород,"проспект Амундсена, 2-й, буд. 2 кв. 302, Ланівці, 28610",049-47-82,gzhalilo@example.net
Литвиненко,Ольга,Іванівна,жінка,1956-03-28,Акушер,хутір Іловайськ,"узвіз Скляна, буд. 778, Привілля, 26175",677 64 07,makarenkopetro@example.net
Дуплій,Єфрем,Олегович,чоловік,1999-12-27,Кінокритик,місто Чигирин,"набережна Лінія 52-га, буд. 1 кв. 322, Помічна, 31885",076 321 66 52,terezaandriichuk@example.com
Дашенко,Ліза,Іванівна,жінка,1952-03-01,Фермер,село Кобеляки,"проспект Розумовський 2-й, буд. 5 кв. 97, Чорнобиль, 86575",+380 21 220-54-04,whavryliuk@example.net
Ващук,Леон,Петрович,чоловік,1976-04-18,Парфюмер,селище Берислав,"провулок Володимира Хавкіна, буд. 950, Рівне, 76408",013 922-63-57,romannazarenko@example.net
